step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,5.813938807082984,0,0.0,0.41705593156530035,0,0.0
10.0,0,0.0,0.0,11.956538363988656,0,0.0,0.8517276927502851,0,0.0
15.0,0,0.0,0.0,8.288557498280733,0,0.0,0.5753920120435714,0,0.0
20.0,5,12.0,0.5,5.69277358921672,5,12.0,0.34458022502054597,5,12.0
25.0,12,50.0,1.8518518518518519,6.6775314927719895,12,50.0,0.3714781595843018,12,50.0
30.0,9,78.0,2.7857142857142856,6.851222491143882,9,78.0,0.38007926778295664,9,78.0
35.0,14,132.0,5.076923076923077,5.44974162696003,14,132.0,0.30468269192852787,14,132.0
40.0,14,96.0,2.6666666666666665,3.7324894603991337,14,156.0,0.22465086403203194,14,156.0
45.0,8,109.0,3.0277777777777777,7.139020702760685,8,137.0,0.4612988307145461,8,137.0
50.0,10,159.0,3.975,7.076712264082542,10,159.0,0.351507040157467,10,159.0
55.0,19,224.0,5.463414634146342,4.991340886160709,19,224.0,0.16544361178414652,19,224.0
60.0,14,164.0,4.4324324324324325,5.824704423535152,14,226.0,0.30348911195070244,14,226.0
65.0,18,241.0,6.513513513513513,4.762703532238269,18,241.0,0.20381903016021957,18,241.0
70.0,18,324.0,8.526315789473685,4.6595984991905395,18,327.0,0.2012227728403345,18,327.0
75.0,22,426.0,10.65,4.558468482448428,22,426.0,0.16869270255878308,22,426.0
80.0,22,519.0,11.282608695652174,4.745059194262877,22,519.0,0.22833483018549525,22,519.0
85.0,28,638.0,14.177777777777777,4.401630570780157,28,638.0,0.2512235823593584,28,638.0
90.0,24,470.0,10.217391304347826,2.5252524666897638,24,651.0,0.10739423946408244,24,651.0
95.0,22,287.0,6.1063829787234045,3.7480819220586654,22,586.0,0.18117962147171335,22,586.0
100.0,20,301.0,5.679245283018868,3.9900860327298635,20,631.0,0.18802488292375902,20,631.0
105.0,25,414.0,8.117647058823529,3.2336842238065797,25,744.0,0.1474937623396005,25,744.0
110.0,25,499.0,8.910714285714286,2.068573324276039,25,786.0,0.09706578033514197,25,786.0
115.0,28,588.0,9.966101694915254,3.9904034071702466,28,767.0,0.19320643303567317,28,767.0
120.0,26,694.0,11.76271186440678,3.9181899419891275,26,897.0,0.2067759776653761,26,897.0
125.0,36,851.0,13.725806451612904,2.186844484710117,36,1054.0,0.08920873679950349,36,1054.0
130.0,39,995.0,15.793650793650794,1.7741128194088824,39,1175.0,0.0899366202864385,39,1175.0
135.0,41,1134.0,17.446153846153845,2.347234322528453,41,1259.0,0.09642940375389195,41,1259.0
140.0,34,1289.0,18.681159420289855,4.132482631797854,34,1350.0,0.16158377126481085,34,1350.0
145.0,42,999.0,13.684931506849315,2.623303154256966,42,1347.0,0.09319818587034832,42,1347.0
150.0,36,976.0,13.36986301369863,3.6446119207163012,36,1231.0,0.1563939255341729,36,1231.0
155.0,41,780.0,10.985915492957746,2.8538514221299063,41,1283.0,0.12369245440603607,41,1283.0
160.0,45,520.0,7.222222222222222,2.2365667344120266,45,1252.0,0.08682486530438474,45,1252.0
165.0,43,499.0,6.653333333333333,3.108684763717871,43,1160.0,0.09291965456259771,43,1160.0
170.0,35,459.0,6.12,3.221965326727926,35,1290.0,0.14338992093528127,35,1290.0
175.0,31,406.0,5.561643835616438,3.2224194071570786,31,1305.0,0.15325972770832916,31,1305.0
180.0,29,324.0,4.563380281690141,2.6932994801101677,29,1378.0,0.11120886938665195,29,1378.0
185.0,38,473.0,5.9125,2.756381030779054,38,1500.0,0.10356764543809205,38,1500.0
190.0,44,581.0,7.448717948717949,2.787885040161538,44,1586.0,0.1303312698713008,44,1586.0
195.0,47,666.0,8.538461538461538,2.23975327412673,47,1601.0,0.08675649730550591,47,1601.0
200.0,44,677.0,8.25609756097561,1.9627392443373337,44,1742.0,0.06313600433422395,44,1742.0
205.0,42,686.0,8.469135802469136,2.3511426735492704,42,1792.0,0.09918036489135627,42,1792.0
210.0,34,706.0,8.609756097560975,2.7326012593995546,34,1821.0,0.11696658628736875,34,1821.0
215.0,30,744.0,9.3,2.5041422561338367,30,1784.0,0.09036832741453006,30,1784.0
220.0,39,839.0,9.426966292134832,2.3492892709644444,39,1875.0,0.1042684931350364,39,1875.0
225.0,32,925.0,10.882352941176471,2.5684342940510616,32,1886.0,0.13370913052655367,32,1886.0
230.0,35,634.0,7.123595505617978,2.6286320573905253,35,1768.0,0.12098639126639206,35,1768.0
235.0,40,360.0,4.044943820224719,2.329674481710479,40,1563.0,0.08491217430991937,40,1563.0
240.0,47,522.0,5.931818181818182,2.2144840793898366,47,1632.0,0.08070990506764698,47,1632.0
245.0,55,723.0,8.123595505617978,1.98578084774696,55,1742.0,0.06718527301443743,55,1742.0
250.0,59,983.0,11.044943820224718,2.6204798024603657,59,1918.0,0.07634303677463863,59,1918.0
255.0,51,1021.0,11.47191011235955,2.4201432879334774,51,2066.0,0.08865301248420387,51,2066.0
260.0,55,1279.0,14.054945054945055,2.869492319445933,55,2212.0,0.12698224444277312,55,2212.0
265.0,59,1303.0,14.977011494252874,2.058868015685208,59,2322.0,0.08038804417960967,59,2322.0
270.0,58,1171.0,13.94047619047619,1.7378309548029856,58,2306.0,0.04611556036726787,58,2306.0
275.0,55,946.0,11.0,2.1208921255104185,55,2383.0,0.0796246278950132,55,2383.0
280.0,45,686.0,8.265060240963855,2.454282269481119,45,2310.0,0.11477401183330355,45,2310.0
285.0,48,689.0,8.202380952380953,2.6381007503539418,48,2320.0,0.06705128340493378,48,2320.0
290.0,59,957.0,10.752808988764045,1.7500045775179318,59,2558.0,0.023647843688583886,59,2558.0
295.0,63,1150.0,12.92134831460674,1.8281674681397364,63,2697.0,0.06620502246772741,63,2697.0
300.0,62,1329.0,15.453488372093023,2.294205139416263,62,2546.0,0.09134059051287975,62,2546.0
305.0,53,1294.0,15.046511627906977,1.984558195894414,53,2754.0,0.07212548052048809,53,2754.0
310.0,54,1447.0,16.825581395348838,2.2354208391188726,54,2917.0,0.06197064720682977,54,2917.0
315.0,49,1291.0,15.74390243902439,2.2717826000126684,49,3031.0,0.08254585125558565,49,3031.0
320.0,47,992.0,11.951807228915662,2.3607488721326977,47,2952.0,0.06432073196226593,47,2952.0
325.0,51,769.0,9.154761904761905,2.5869477520987787,51,2902.0,0.06917025044061262,51,2902.0
330.0,42,548.0,6.447058823529412,2.7720894868933192,42,2938.0,0.12287358156367022,42,2938.0
335.0,37,415.0,5.1875,3.823789926933806,37,2622.0,0.18640254212844828,37,2622.0
340.0,33,398.0,4.91358024691358,2.8428887915155143,33,2751.0,0.11810753045110672,33,2751.0
345.0,43,461.0,5.7625,2.214654937197668,43,2926.0,0.07659053887657995,43,2926.0
350.0,51,589.0,7.3625,1.8187760724741349,51,3148.0,0.07342124787014415,51,3148.0
355.0,56,717.0,8.74390243902439,1.1088953294235633,56,3256.0,0.05977985472111463,56,3256.0
360.0,56,789.0,9.392857142857142,1.4604270323418933,56,3154.0,0.037690643181066415,56,3154.0
365.0,50,753.0,8.184782608695652,2.0991844283368146,50,3150.0,0.07893433032467641,50,3150.0
370.0,43,675.0,7.670454545454546,3.0427191784547087,43,3011.0,0.14100486240318358,43,3011.0
375.0,36,342.0,4.071428571428571,2.4000205451624144,36,3060.0,0.11133571625980261,36,3060.0
380.0,39,313.0,3.6823529411764704,2.058210881903899,39,3039.0,0.08495513087819094,39,3039.0
385.0,42,383.0,4.453488372093023,1.927483740375583,42,3037.0,0.07463101677881676,42,3037.0
390.0,51,549.0,6.238636363636363,1.9643050806527065,51,2888.0,0.07070229886661081,51,2888.0
395.0,49,661.0,7.686046511627907,1.8602050082328843,49,2969.0,0.0531874297767907,49,2969.0
