step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,12.941005309699962,0,0.0,0.880259407507144,0,0.0,0.9110619707052253,0,0.0,1.0,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,13.343428633775973,0,0.0,0.8970247543929343,0,0.0,0.9068233478605855,0,0.0,0.9723737623891602,0,0.0,1.0,0,0.0
20.0,0,0.0,0.0,10.21272536314989,0,0.0,0.1665082154731886,0,0.0,0.8859810777178824,0,0.0,0.9466205136015228,0,0.0,1.0,0,0.0
25.0,3,10.0,1.25,6.243223197232438,2,8.0,3.915080950446613e-06,1,2.0,0.4933928875801145,0,0.0,0.5933055367829072,0,0.0,0.9198894579415658,3,10.0
30.0,6,33.0,3.6666666666666665,4.293301312128325,2,18.0,0.3048369324808859,2,9.0,0.0003302225695103102,2,6.0,5.169517427289463e-05,0,0.0,0.8851009532719728,6,33.0
35.0,4,44.0,4.0,6.0420520356730245,2,28.0,0.16650215534510507,0,5.0,0.26997650847082943,2,16.0,0.4618642142504703,0,0.0,0.8940872625649653,4,49.0
40.0,5,65.0,5.909090909090909,6.043558870573634,3,39.0,0.0005947502464586427,0,0.0,0.9431049467789856,2,26.0,0.3406075773791598,0,2.0,0.9628857452327843,5,67.0
45.0,6,93.0,6.642857142857143,6.309068300424069,3,54.0,0.373348222676566,0,0.0,0.9431253912215721,3,39.0,0.21308478873659853,0,2.0,0.9502554975350744,6,95.0
50.0,7,127.0,8.466666666666667,6.576333028442229,3,69.0,0.4371501377613061,0,0.0,1.0,4,58.0,0.19304102210936752,0,0.0,0.9627130916654191,7,127.0
55.0,9,166.0,11.066666666666666,4.425778431013772,4,87.0,0.26682281149396353,0,0.0,1.0,5,79.0,0.00030403754901584657,0,0.0,0.9320619529358957,9,166.0
60.0,11,218.0,13.625,2.665420366292752,6,114.0,0.12042438897878519,0,0.0,1.0,5,104.0,0.16157226102791347,0,0.0,0.1866450735787863,11,218.0
65.0,12,278.0,18.533333333333335,1.100251376433423,7,149.0,0.0024679740036175554,0,0.0,1.0,5,129.0,0.14653369740036606,0,0.0,1.0,12,278.0
70.0,14,346.0,20.352941176470587,2.2139198742077966,8,189.0,0.18501600272950208,0,0.0,1.0,6,157.0,1.5294751386690385e-05,0,0.0,1.0,14,346.0
75.0,15,417.0,20.85,3.3679541043385597,9,230.0,0.2411387354296237,0,0.0,1.0,6,187.0,0.13529309200477635,0,0.0,1.0,15,417.0
80.0,15,492.0,23.428571428571427,2.6155252115046146,9,275.0,0.13517292454681468,0,0.0,0.93831874786698,6,217.0,0.08041620053534948,0,0.0,1.0,15,492.0
85.0,18,575.0,23.958333333333332,3.019028850465,11,326.0,0.1462291984216996,0,0.0,0.979906287036594,7,249.0,0.27946875348892053,0,0.0,1.0,18,575.0
90.0,18,665.0,25.576923076923077,3.619812400308717,11,381.0,0.20766831951853537,0,0.0,0.9506037237248777,7,284.0,0.3165388240817491,0,0.0,1.0,18,665.0
95.0,20,759.0,26.17241379310345,3.1137285487181368,11,436.0,0.21808984739805784,0,0.0,1.0,9,323.0,0.13606251459014987,0,0.0,0.9226553235550967,20,759.0
100.0,23,866.0,29.862068965517242,1.934553853277563,12,493.0,0.1251866367638283,0,0.0,1.0,11,373.0,0.1163819583290524,0,0.0,0.9716211301623366,23,866.0
105.0,23,969.0,33.41379310344828,1.1077849915298847,14,560.0,0.00981408900351551,0,0.0,1.0,9,416.0,0.10077184942636164,0,0.0,0.8795759961157638,23,976.0
110.0,22,1077.0,34.74193548387097,2.725268834368918,13,624.0,0.012872390997797968,0,0.0,1.0,9,454.0,0.2122951527285026,0,0.0,1.0,22,1078.0
115.0,23,1189.0,37.15625,2.9893264917089137,13,688.0,0.06874164177774221,0,0.0,1.0,10,503.0,0.1335047982883442,0,0.0,1.0,23,1191.0
120.0,24,1307.0,40.84375,2.9735761516316845,13,753.0,0.1652108780291638,0,0.0,1.0,11,556.0,0.14379352989916885,0,0.0,1.0,24,1309.0
125.0,25,1429.0,47.63333333333333,1.773901107214173,13,818.0,0.12631640602281988,0,0.0,0.8988933861655554,12,613.0,0.09131483724934301,0,0.0,1.0,25,1431.0
130.0,26,1558.0,50.25806451612903,1.6834573738947858,13,883.0,0.13457358463770214,0,0.0,0.8907325056154675,13,677.0,0.06857338402406017,0,0.0,1.0,26,1560.0
135.0,26,1672.0,49.1764705882353,1.8590599901834504,15,953.0,0.13379531212203372,0,0.0,0.9850558912991592,11,726.0,0.016390815686422654,0,0.0,1.0,26,1679.0
140.0,25,1789.0,49.69444444444444,3.0799045143429935,14,1020.0,0.10009730076691442,0,0.0,0.9845744388114426,11,774.0,0.0,0,0.0,0.999663838604604,25,1794.0
145.0,25,1914.0,51.729729729729726,4.009839425428146,14,1085.0,0.06471537561798733,0,0.0,0.9294693608560954,11,831.0,0.23805380347872293,0,0.0,0.9524755353439448,25,1916.0
150.0,25,2039.0,53.6578947368421,3.746796138142556,14,1155.0,0.0,0,0.0,0.966685289912215,11,886.0,0.30132038940118533,0,0.0,0.9266888406181755,25,2041.0
155.0,27,2170.0,54.25,3.095158029294377,14,1225.0,0.12244559955749719,0,0.0,1.0,13,945.0,0.13596932462629369,0,0.0,0.6911730470450806,27,2170.0
160.0,33,2322.0,52.77272727272727,2.3303820087706595,16,1300.0,0.05846063181477438,0,0.0,0.9129399449693719,15,1016.0,0.052514421838537065,2,6.0,0.24596925647258475,33,2322.0
165.0,33,2475.0,53.80434782608695,2.395227668767758,16,1380.0,0.05611299097496456,0,0.0,0.8607294041730276,17,1095.0,0.001956782221386085,0,7.0,0.187903162790517,33,2482.0
170.0,34,2644.0,57.47826086956522,2.6854165340198937,16,1460.0,0.141806159890883,0,0.0,0.7827286084230529,18,1184.0,0.049230224904722064,0,0.0,0.6228134561156561,34,2644.0
175.0,36,2818.0,59.95744680851064,2.3321865091370575,17,1541.0,0.06797021967445467,0,0.0,0.8829291156160272,18,1274.0,0.09426266195222803,1,3.0,4.185772291276056e-05,36,2818.0
180.0,37,3000.0,62.5,2.649754023514261,18,1628.0,0.12041749697668538,0,0.0,0.976427137667287,18,1364.0,0.048231232659627775,1,8.0,0.6450602602853128,37,3000.0
185.0,38,3175.0,64.79591836734694,2.20085432160981,19,1720.0,0.11329409326279301,0,0.0,1.0,19,1455.0,0.02959586491731465,0,0.0,0.9662694737371408,38,3175.0
190.0,39,3365.0,67.3,2.2717432230685652,19,1813.0,0.12771144058066045,0,0.0,0.9763118860418314,20,1552.0,7.967186934698312e-05,0,0.0,0.9115714510811177,39,3365.0
195.0,38,3553.0,67.0377358490566,3.189434989674071,19,1908.0,0.128123553053611,0,0.0,0.9549662323163624,19,1647.0,0.1120531150453354,0,0.0,0.9521950897604756,38,3555.0
