step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,,,
5.0,0,0.0,0.0,6.627285355872783,0,0.0,0.4859073044614864,0,0.0,False,,
10.0,0,0.0,0.0,11.245569450792363,0,0.0,0.8252566894088564,0,0.0,False,,
15.0,0,0.0,0.0,7.411649776321969,0,0.0,0.5321873180940871,0,0.0,False,,
20.0,6,28.0,1.1666666666666667,6.192484543770945,6,28.0,0.35339947590185194,6,28.0,False,,
25.0,13,68.0,2.4285714285714284,6.1644361898885025,13,68.0,0.3708913694883171,13,68.0,False,,
30.0,12,120.0,4.444444444444445,5.756025339791897,12,120.0,0.29080578237549537,12,120.0,False,,
35.0,16,186.0,6.642857142857143,5.205821047330074,16,186.0,0.2695199944175356,16,186.0,False,,
40.0,19,182.0,4.7894736842105265,3.659790168417473,19,217.0,0.21767227537152437,19,217.0,False,,
45.0,18,266.0,7.0,5.218516960535463,18,266.0,0.32041515212205585,18,266.0,False,,
50.0,18,331.0,7.880952380952381,4.728789756949745,18,341.0,0.27961875489440474,18,341.0,False,,
55.0,26,429.0,9.75,3.403451133383022,26,429.0,0.14679270579529077,26,429.0,False,,
60.0,24,540.0,12.272727272727273,4.132255773578013,24,544.0,0.1960400670924489,24,544.0,False,,
65.0,27,669.0,14.543478260869565,3.3138352271618157,27,669.0,0.14380875415295552,27,669.0,False,,
70.0,31,817.0,17.382978723404257,2.62941718292318,31,817.0,0.10613654468031875,31,817.0,False,,
75.0,31,681.0,13.62,1.4766949066747201,31,868.0,0.09171322444418058,31,868.0,False,,
80.0,26,494.0,8.821428571428571,4.202302314942245,26,820.0,0.2243836001720697,26,820.0,False,,
85.0,24,502.0,8.366666666666667,4.923122547324636,24,708.0,0.21051580427399444,24,708.0,False,,
90.0,26,607.0,10.46551724137931,4.966602735487865,26,715.0,0.22975963388165482,26,715.0,False,,
