step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,GS_cluster_357187_359543_stopped,GS_cluster_357187_359543_accumulated_waiting_time,GS_cluster_357187_359543_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,,,
5.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
10.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
15.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
20.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
25.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
30.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
35.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
40.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
45.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
50.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
55.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
60.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
65.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
70.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
75.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
80.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
85.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
90.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
95.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
100.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
105.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
110.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
115.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
120.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
125.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
130.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
135.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
140.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
145.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
150.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
155.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
160.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
165.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
170.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
175.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
180.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
185.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
190.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
195.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
200.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
205.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
210.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
215.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
220.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
225.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
230.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
235.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
240.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
245.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
250.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
255.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
260.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
265.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
270.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
275.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
280.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
285.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
290.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
295.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
300.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
305.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
310.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
315.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
320.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
325.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
330.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
335.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
340.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
345.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
350.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
355.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
360.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
365.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
370.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
375.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
380.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
385.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
390.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
395.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
400.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
405.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
410.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
415.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
420.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
425.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
430.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
435.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
440.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
445.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
450.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
455.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
460.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
465.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
470.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
475.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
480.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
485.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
490.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
495.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
500.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
505.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
510.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
515.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
520.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
525.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
530.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
535.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
540.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
545.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
550.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
555.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
560.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
565.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
570.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
575.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
580.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
585.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
590.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
595.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
600.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
605.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
610.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
615.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
620.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
625.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
630.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
635.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
640.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
645.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
650.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
655.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
660.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
