step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,,,
5.0,0,0.0,0.0,12.663608136240132,0,0.0,0.9154450814441789,0,0.0,False,,
10.0,0,0.0,0.0,13.016532049128708,0,0.0,0.952773617312778,0,0.0,False,,
15.0,0,0.0,0.0,11.933770411018061,0,0.0,0.8648628567873002,0,0.0,False,,
20.0,1,4.0,0.26666666666666666,9.915176880657215,1,4.0,0.7109871067655855,1,4.0,False,,
25.0,0,0.0,0.0,7.812218646315608,0,3.0,0.5807388936517015,0,3.0,False,,
30.0,1,3.0,0.13636363636363635,10.139070270561984,1,3.0,0.6934494012107405,1,3.0,False,,
35.0,1,1.0,0.043478260869565216,8.937757875644154,1,1.0,0.5546083016838544,1,1.0,False,,
40.0,5,20.0,0.7407407407407407,9.437133792788886,5,20.0,0.5482640048306756,5,20.0,False,,
45.0,3,8.0,0.32,7.633623676050643,3,31.0,0.4648420234626855,3,31.0,False,,
50.0,1,4.0,0.16666666666666666,8.395064802282167,1,13.0,0.5088132713558068,1,13.0,False,,
55.0,3,4.0,0.16,7.757393139829987,3,9.0,0.36965486847165674,3,9.0,False,,
60.0,7,31.0,1.24,7.210789663098747,7,36.0,0.31147252548161547,7,36.0,False,,
65.0,11,84.0,3.5,6.14106667865603,11,89.0,0.29324387558667153,11,89.0,False,,
70.0,13,146.0,6.3478260869565215,5.613980477125653,13,151.0,0.3497390623929325,13,151.0,False,,
75.0,14,213.0,8.192307692307692,4.368658629204355,14,218.0,0.26245890940125294,14,218.0,False,,
80.0,18,297.0,9.28125,4.158494620329578,18,302.0,0.23548702662164497,18,302.0,False,,
85.0,23,405.0,11.911764705882353,2.6031249602813293,23,410.0,0.14076621633811454,23,410.0,False,,
90.0,28,537.0,13.425,2.7499297626767985,28,542.0,0.15762269324551656,28,542.0,False,,
95.0,33,694.0,16.523809523809526,1.6620510454519895,33,699.0,0.08144490988783044,33,699.0,False,,
100.0,31,605.0,13.444444444444445,2.057114083033574,31,776.0,0.09381969781528816,31,776.0,False,,
105.0,25,380.0,8.837209302325581,3.135296038791267,25,743.0,0.12517426043748922,25,743.0,False,,
110.0,14,229.0,5.325581395348837,4.032813214613598,14,741.0,0.14040506574556075,14,741.0,False,,
115.0,12,99.0,2.475,4.4616351291634775,12,804.0,0.14153361029150852,12,804.0,False,,
120.0,8,33.0,0.8918918918918919,4.390462096744824,8,761.0,0.19847583057568127,8,761.0,False,,
125.0,5,9.0,0.23684210526315788,4.775175813960883,5,585.0,0.23089551920141133,5,585.0,False,,
130.0,3,3.0,0.07142857142857142,5.398331333349106,3,561.0,0.24535655788808444,3,561.0,False,,
135.0,7,29.0,0.7073170731707317,4.580976092968495,7,592.0,0.18496588299802022,7,592.0,False,,
140.0,7,27.0,0.75,3.675790508301758,7,553.0,0.17223546410162036,7,553.0,False,,
145.0,5,12.0,0.3157894736842105,4.414730233207454,5,397.0,0.16552071319555323,5,397.0,False,,
150.0,1,1.0,0.02564102564102564,4.444371250621919,1,363.0,0.1376064186570681,1,363.0,False,,
155.0,6,18.0,0.4864864864864865,3.793507211858396,6,379.0,0.11909224463294996,6,379.0,False,,
160.0,6,16.0,0.48484848484848486,3.1865964328700973,6,335.0,0.1434253521434117,6,335.0,False,,
165.0,2,4.0,0.12121212121212122,3.9283973333690327,2,218.0,0.15877346106453458,2,218.0,False,,
170.0,2,4.0,0.10810810810810811,4.261950350060419,2,192.0,0.15865396441682975,2,192.0,False,,
175.0,9,31.0,0.8857142857142857,2.9262811798082278,9,221.0,0.13643139325939238,9,221.0,False,,
180.0,9,34.0,1.0625,1.9192224754750438,9,197.0,0.12277749415812929,9,197.0,False,,
185.0,7,20.0,0.5263157894736842,4.1240735060973766,7,113.0,0.19310818642376526,7,113.0,False,,
190.0,4,9.0,0.23076923076923078,4.294891910597959,4,100.0,0.16884066595002772,4,100.0,False,,
195.0,9,24.0,0.6,4.008131772267786,9,131.0,0.1559996401099301,9,131.0,False,,
200.0,7,26.0,0.7222222222222222,3.637910897141824,7,146.0,0.17451017049169135,7,146.0,False,,
205.0,4,9.0,0.24324324324324326,4.272275837047579,4,122.0,0.18917682958045742,4,122.0,False,,
210.0,6,12.0,0.3,4.341363600129306,6,135.0,0.16550192075563405,6,135.0,False,,
215.0,8,35.0,0.8974358974358975,3.7711425810295442,8,169.0,0.17702523741845314,8,169.0,False,,
220.0,10,34.0,0.9444444444444444,2.829568988920174,10,181.0,0.14061806580938438,10,181.0,False,,
225.0,7,22.0,0.5641025641025641,3.4981563800043647,7,155.0,0.15632628195142187,7,155.0,False,,
230.0,4,7.0,0.17073170731707318,3.8654731636930744,4,170.0,0.15008354205250415,4,170.0,False,,
235.0,7,28.0,0.717948717948718,3.2196474534726884,7,195.0,0.10684430894563926,7,195.0,False,,
240.0,7,26.0,0.6842105263157895,3.3198562906960154,7,194.0,0.1509798615265366,7,194.0,False,,
245.0,4,8.0,0.20512820512820512,3.873231488071782,4,150.0,0.16828259087787065,4,150.0,False,,
250.0,4,7.0,0.175,3.869325436643039,4,164.0,0.17596984964364026,4,164.0,False,,
255.0,7,34.0,0.85,3.335016582965978,7,196.0,0.10720370687770199,7,196.0,False,,
260.0,9,31.0,0.8157894736842105,2.9278480119786026,9,196.0,0.14168360456203946,9,196.0,False,,
265.0,9,34.0,0.8292682926829268,4.416928456892023,9,157.0,0.18346800718192244,9,157.0,False,,
270.0,8,20.0,0.47619047619047616,4.661574998267692,8,188.0,0.175894912641801,8,188.0,False,,
275.0,9,39.0,0.9512195121951219,3.8146827585282312,9,233.0,0.12776937049659248,9,233.0,False,,
280.0,10,40.0,1.0526315789473684,3.502373310979244,10,240.0,0.17684639233738209,10,240.0,False,,
285.0,7,18.0,0.46153846153846156,3.8954612198805716,7,193.0,0.175636400727634,7,193.0,False,,
290.0,8,17.0,0.4146341463414634,3.9112371406955937,8,225.0,0.1514161158275051,8,225.0,False,,
295.0,12,43.0,1.075,3.4699955170969146,12,276.0,0.12982034743292847,12,276.0,False,,
300.0,10,37.0,0.9736842105263158,3.0586876222895594,10,278.0,0.11708834170090726,10,278.0,False,,
305.0,7,21.0,0.5526315789473685,3.872609826733368,7,230.0,0.1527756450413418,7,230.0,False,,
310.0,6,8.0,0.21052631578947367,4.003415361927163,6,230.0,0.13989449102334803,6,230.0,False,,
315.0,10,35.0,0.9459459459459459,3.3217768366475253,10,271.0,0.1255330291035738,10,271.0,False,,
320.0,9,37.0,1.0571428571428572,3.4108213639383846,9,270.0,0.17745510179789492,9,270.0,False,,
325.0,4,15.0,0.38461538461538464,4.343151488646617,4,215.0,0.19988056336885726,4,215.0,False,,
330.0,8,19.0,0.4523809523809524,4.580731498672534,8,248.0,0.20496212277023504,8,248.0,False,,
335.0,11,45.0,1.0714285714285714,4.138248056352869,11,296.0,0.15821552680643083,11,296.0,False,,
340.0,9,40.0,1.0526315789473684,3.7626122339040267,9,289.0,0.16256516873268934,9,289.0,False,,
345.0,7,20.0,0.5128205128205128,3.8533631331773677,7,204.0,0.10917886782366677,7,204.0,False,,
350.0,5,12.0,0.3,4.828436178018938,5,206.0,0.18309072788601582,5,206.0,False,,
355.0,10,30.0,0.75,4.295163151169149,10,247.0,0.20836902318668837,10,247.0,False,,
360.0,7,21.0,0.5526315789473685,3.9709426772791914,7,235.0,0.24438257851790013,7,235.0,False,,
365.0,6,12.0,0.2926829268292683,4.610848738170902,6,178.0,0.24450634096488416,6,178.0,False,,
370.0,5,11.0,0.2558139534883721,3.815864774985951,5,192.0,0.14005210779954508,5,192.0,False,,
