step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,12.935928628665163,0,0.0,0.9941273320951766,0,0.0
10.0,0,0.0,0.0,13.084054733566614,0,0.0,0.9649683675955741,0,0.0
15.0,0,0.0,0.0,12.066036525138683,0,0.0,0.8804845532260934,0,0.0
20.0,2,6.0,0.4,11.171405985713655,2,6.0,0.7501947604205869,2,6.0
25.0,0,0.0,0.0,8.750605737869776,0,0.0,0.6180238856084718,0,0.0
30.0,4,11.0,0.5238095238095238,9.412395781830636,4,11.0,0.6061349620481623,4,11.0
35.0,1,3.0,0.14285714285714285,7.075980698590164,1,15.0,0.4345417850398449,1,15.0
40.0,1,8.0,0.38095238095238093,7.498618422699524,1,8.0,0.40792737576389393,1,8.0
45.0,2,18.0,0.75,10.611365198809874,2,18.0,0.6626682744370178,2,18.0
50.0,2,5.0,0.21739130434782608,7.961115352662332,2,5.0,0.44716281940160996,2,5.0
55.0,6,29.0,1.380952380952381,8.45273535839548,6,29.0,0.4245805422873859,6,29.0
60.0,7,62.0,3.4444444444444446,6.973058685502029,7,62.0,0.3396294100052897,7,62.0
65.0,3,18.0,1.0,5.7496525268599505,3,62.0,0.37252267377337606,3,62.0
70.0,2,8.0,0.36363636363636365,9.769821456502697,2,17.0,0.6200504526603938,2,17.0
75.0,3,5.0,0.20833333333333334,8.72192504582214,3,14.0,0.5006667450321651,3,14.0
80.0,7,31.0,1.2916666666666667,7.6424181754447815,7,40.0,0.3921278726424852,7,40.0
85.0,4,18.0,0.72,7.623463561812943,4,50.0,0.4367669112946337,4,50.0
90.0,0,0.0,0.0,9.064596113617553,0,23.0,0.5837773179682952,0,23.0
95.0,1,1.0,0.037037037037037035,10.446490592178176,1,3.0,0.6746747197964401,1,3.0
100.0,1,6.0,0.24,10.162664506043544,1,6.0,0.6719022262420031,1,6.0
105.0,1,1.0,0.041666666666666664,8.674112332664038,1,4.0,0.5422103422413694,1,4.0
110.0,4,18.0,0.75,9.454092387267758,4,18.0,0.577024922234719,4,18.0
115.0,1,1.0,0.043478260869565216,9.58735446876651,1,15.0,0.6436332175609788,1,15.0
120.0,1,6.0,0.2608695652173913,10.369366454218476,1,6.0,0.7105043806108529,1,6.0
125.0,3,6.0,0.2608695652173913,8.812954553767588,3,6.0,0.49947795557542574,3,6.0
130.0,7,35.0,1.6666666666666667,7.603361554282263,7,35.0,0.3392905377710729,7,35.0
135.0,4,15.0,0.75,6.985475707719291,4,46.0,0.35389744379473365,4,46.0
140.0,0,0.0,0.0,9.398300991496669,0,18.0,0.5681187498433071,0,18.0
145.0,2,4.0,0.18181818181818182,11.550140000767051,2,4.0,0.7310681208886611,2,4.0
150.0,1,3.0,0.13636363636363635,11.061642612599792,1,3.0,0.761590890105644,1,3.0
155.0,4,17.0,0.85,9.258497476341939,4,17.0,0.5264456984366374,4,17.0
160.0,8,46.0,2.0,7.098952823794391,8,46.0,0.4091713337836434,8,46.0
165.0,5,23.0,0.92,6.6745959413543945,5,59.0,0.47866260481157,5,59.0
